"symbol","date","entryTime","exitTime","strategy","callStrike","putStrike","pl"
"NIFTY","2021-02-01","09:55:00","15:00:00","strangle",14000,13400,"-7462.50"
"NIFTY","2021-02-02","09:55:00","15:00:00","strangle",15000,14400,"857.50"
"NIFTY","2021-02-03","09:55:00","15:00:00","strangle",15000,14400,"380.00"
"NIFTY","2021-02-04","09:55:00","15:00:00","strangle",15100,14500,"240.00"
"NIFTY","2021-02-05","09:55:00","15:00:00","strangle",15200,14600,"1325.00"
"NIFTY","2021-02-08","09:55:00","15:00:00","strangle",15400,14800,"755.00"
"NIFTY","2021-02-09","09:55:00","15:00:00","strangle",15400,14800,"170.00"
"NIFTY","2021-02-10","09:55:00","15:00:00","strangle",15400,14800,"375.00"
"NIFTY","2021-02-11","09:55:00","15:00:00","strangle",15500,14900,"297.50"
"NIFTY","2021-02-12","09:55:00","15:00:00","strangle",15500,14900,"-35.00"
"NIFTY","2021-02-15","09:55:00","15:00:00","strangle",15600,15000,"337.50"
"NIFTY","2021-02-16","09:55:00","15:00:00","strangle",15700,15100,"125.00"
"NIFTY","2021-02-17","09:55:00","15:00:00","strangle",15500,14900,"380.00"
"NIFTY","2021-02-18","09:55:00","15:00:00","strangle",15500,14900,"115.00"
"NIFTY","2021-02-19","09:55:00","15:00:00","strangle",15400,14800,"0.00"
"NIFTY","2021-02-22","09:55:00","15:00:00","strangle",15200,14600,"0.00"
"NIFTY","2021-02-23","09:55:00","15:00:00","strangle",15000,14400,"0.00"
"NIFTY","2021-02-24","09:55:00","15:00:00","strangle",15100,14500,"0.00"
"NIFTY","2021-02-25","09:55:00","15:00:00","strangle",15500,14900,"0.00"
"NIFTY","2021-02-26","09:55:00","15:00:00","strangle",15200,14600,"-3727.50"
"NIFTY","2021-03-01","09:55:00","15:00:00","strangle",15100,14500,"1680.00"
"NIFTY","2021-03-02","09:55:00","15:00:00","strangle",15200,14600,"990.00"
"NIFTY","2021-03-03","09:55:00","15:00:00","strangle",15300,14700,"-1020.00"
