"Time","UnderlyingAtBuy","UnderlyingCurrent","UnderlyingChange","UnderlyingChgPct","CallPL","CallPLAmount","CallPLPercentage","PutPL","PutPLAmount","PutPLPercentage","PL"
"09:55:00",14870.2,14870.2,0,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"09:56:00",14870.2,14867,3.2000000000007276,"0.02","0.00","0.00","0.00","-0.40","-20.00","-0.48","-20.00"
"09:57:00",14870.2,14866,4.200000000000728,"0.03","-0.20","-10.00","-0.37","-1.05","-52.50","-1.25","-62.50"
"09:58:00",14870.2,14868.3,1.9000000000014552,"0.01","-0.05","-2.50","-0.09","-0.45","-22.50","-0.54","-25.00"
"09:59:00",14870.2,14874.4,-4.199999999998909,"-0.03","-1.30","-65.00","-2.43","2.50","125.00","2.98","60.00"
"10:00:00",14870.2,14879.5,-9.299999999999272,"-0.06","-0.90","-45.00","-1.68","4.20","210.00","5.00","165.00"
"10:01:00",14870.2,14865.2,5,"0.03","0.85","42.50","1.59","-1.15","-57.50","-1.37","-15.00"
"10:02:00",14870.2,14873.5,-3.2999999999992724,"-0.02","0.25","12.50","0.47","1.95","97.50","2.32","110.00"
"10:03:00",14870.2,14871.5,-1.2999999999992724,"-0.01","0.80","40.00","1.50","1.00","50.00","1.19","90.00"
"10:04:00",14870.2,14871,-0.7999999999992724,"-0.01","1.10","55.00","2.06","1.25","62.50","1.49","117.50"
"10:05:00",14870.2,14866.1,4.100000000000364,"0.03","2.05","102.50","3.84","-0.70","-35.00","-0.83","67.50"
"10:06:00",14870.2,14873.6,-3.399999999999636,"-0.02","0.60","30.00","1.12","3.35","167.50","3.99","197.50"
"10:07:00",14870.2,14875.8,-5.599999999998545,"-0.04","0.60","30.00","1.12","2.75","137.50","3.27","167.50"
"10:08:00",14870.2,14866.5,3.7000000000007276,"0.02","2.30","115.00","4.30","2.00","100.00","2.38","215.00"
"10:09:00",14870.2,14867.7,2.5,"0.02","2.45","122.50","4.58","2.30","115.00","2.74","237.50"
"10:10:00",14870.2,14869.3,0.9000000000014552,"0.01","2.65","132.50","4.96","3.40","170.00","4.05","302.50"
"10:11:00",14870.2,14869.7,0.5,"0.00","2.00","100.00","3.74","3.70","185.00","4.40","285.00"
"10:12:00",14870.2,14877.7,-7.5,"-0.05","1.50","75.00","2.81","4.30","215.00","5.12","290.00"
"10:13:00",14870.2,14875.1,-4.899999999999636,"-0.03","2.75","137.50","5.14","2.70","135.00","3.21","272.50"
"10:14:00",14870.2,14872,-1.7999999999992724,"-0.01","3.50","175.00","6.55","3.75","187.50","4.46","362.50"
"10:15:00",14870.2,14877.6,-7.399999999999636,"-0.05","2.60","130.00","4.86","5.05","252.50","6.01","382.50"
"10:16:00",14870.2,14863,7.200000000000728,"0.05","5.55","277.50","10.38","1.40","70.00","1.67","347.50"
"10:17:00",14870.2,14857.1,13.100000000000364,"0.09","7.25","362.50","13.56","-1.30","-65.00","-1.55","297.50"
"10:18:00",14870.2,14848.4,21.80000000000109,"0.15","7.45","372.50","13.94","-1.70","-85.00","-2.02","287.50"
"10:19:00",14870.2,14845.1,25.100000000000364,"0.17","7.90","395.00","14.78","-3.15","-157.50","-3.75","237.50"
"10:20:00",14870.2,14841.5,28.700000000000728,"0.19","7.95","397.50","14.87","-4.40","-220.00","-5.24","177.50"
"10:21:00",14870.2,14831.9,38.30000000000109,"0.26","9.60","480.00","17.96","-7.80","-390.00","-9.29","90.00"
"10:22:00",14870.2,14832.5,37.70000000000073,"0.25","8.95","447.50","16.74","-7.10","-355.00","-8.45","92.50"
"10:23:00",14870.2,14839.6,30.600000000000364,"0.21","9.05","452.50","16.93","-4.35","-217.50","-5.18","235.00"
"10:24:00",14870.2,14825,45.20000000000073,"0.30","10.20","510.00","19.08","-10.45","-522.50","-12.44","-12.50"
"10:25:00",14870.2,14824.5,45.70000000000073,"0.31","10.25","512.50","19.18","-11.05","-552.50","-13.15","-40.00"
"10:26:00",14870.2,14792.5,77.70000000000073,"0.52","13.45","672.50","25.16","-25.65","-1282.50","-30.54","-610.00"
"10:27:00",14870.2,14784,86.20000000000073,"0.58","14.25","712.50","26.66","-26.95","-1347.50","-32.08","-635.00"
"10:28:00",14870.2,14791.2,79,"0.53","12.65","632.50","23.67","-26.10","-1305.00","-31.07","-672.50"
"10:29:00",14870.2,14800.3,69.90000000000146,"0.47","12.00","600.00","22.45","-21.45","-1072.50","-25.54","-472.50"
"10:30:00",14870.2,14811.4,58.80000000000109,"0.40","10.85","542.50","20.30","-18.75","-937.50","-22.32","-395.00"
"10:31:00",14870.2,14795.1,75.10000000000036,"0.51","11.50","575.00","21.52","-25.80","-1290.00","-30.71","-715.00"
"10:32:00",14870.2,14793,77.20000000000073,"0.52","11.05","552.50","20.67","-25.65","-1282.50","-30.54","-730.00"
"10:33:00",14870.2,14799.1,71.10000000000036,"0.48","9.85","492.50","18.43","-24.25","-1212.50","-28.87","-720.00"
"10:34:00",14870.2,14803.8,66.40000000000146,"0.45","8.90","445.00","16.65","-21.05","-1052.50","-25.06","-607.50"
"10:35:00",14870.2,14793.4,76.80000000000109,"0.52","11.10","555.00","20.77","-26.10","-1305.00","-31.07","-750.00"
"10:36:00",14870.2,14802.5,67.70000000000073,"0.46","8.45","422.50","15.81","-22.30","-1115.00","-26.55","-692.50"
"10:37:00",14870.2,14797.5,72.70000000000073,"0.49","8.95","447.50","16.74","-24.15","-1207.50","-28.75","-760.00"
"10:38:00",14870.2,14797.5,72.70000000000073,"0.49","9.20","460.00","17.21","-24.05","-1202.50","-28.63","-742.50"
"10:39:00",14870.2,14795.2,75,"0.50","9.60","480.00","17.96","-25.15","-1257.50","-29.94","-777.50"
"10:40:00",14870.2,14797.3,72.90000000000146,"0.49","9.35","467.50","17.49","-23.20","-1160.00","-27.62","-692.50"
"10:41:00",14870.2,14789.5,80.70000000000073,"0.54","10.80","540.00","20.21","-27.00","-1350.00","-32.14","-810.00"
"10:42:00",14870.2,14789.7,80.5,"0.54","10.65","532.50","19.93","-26.85","-1342.50","-31.96","-810.00"
"10:43:00",14870.2,14785.6,84.60000000000036,"0.57","11.25","562.50","21.05","-29.25","-1462.50","-34.82","-900.00"
"10:44:00",14870.2,14788.5,81.70000000000073,"0.55","10.15","507.50","18.99","-28.30","-1415.00","-33.69","-907.50"
"10:45:00",14870.2,14791.9,78.30000000000109,"0.53","10.00","500.00","18.71","-26.95","-1347.50","-32.08","-847.50"
"10:46:00",14870.2,14798.6,71.60000000000036,"0.48","8.75","437.50","16.37","-22.90","-1145.00","-27.26","-707.50"
"10:47:00",14870.2,14779.6,90.60000000000036,"0.61","10.40","520.00","19.46","-28.55","-1427.50","-33.99","-907.50"
"10:48:00",14870.2,14782.1,88.10000000000036,"0.59","9.85","492.50","18.43","-26.60","-1330.00","-31.67","-837.50"
"10:49:00",14870.2,14788.7,81.5,"0.55","9.65","482.50","18.05","-27.10","-1355.00","-32.26","-872.50"
"10:50:00",14870.2,14792.2,78,"0.52","9.10","455.00","17.03","-24.85","-1242.50","-29.58","-787.50"
"10:51:00",14870.2,14797.5,72.70000000000073,"0.49","8.20","410.00","15.34","-22.00","-1100.00","-26.19","-690.00"
"10:52:00",14870.2,14787,83.20000000000073,"0.56","10.10","505.00","18.90","-25.80","-1290.00","-30.71","-785.00"
"10:53:00",14870.2,14788.5,81.70000000000073,"0.55","10.15","507.50","18.99","-26.60","-1330.00","-31.67","-822.50"
"10:54:00",14870.2,14791,79.20000000000073,"0.53","9.55","477.50","17.87","-24.25","-1212.50","-28.87","-735.00"
"10:55:00",14870.2,14790.8,79.40000000000146,"0.53","9.50","475.00","17.77","-24.60","-1230.00","-29.29","-755.00"
"10:56:00",14870.2,14794.6,75.60000000000036,"0.51","9.25","462.50","17.31","-23.80","-1190.00","-28.33","-727.50"
"10:57:00",14870.2,14790.5,79.70000000000073,"0.54","9.90","495.00","18.52","-26.30","-1315.00","-31.31","-820.00"
"10:58:00",14870.2,14780.5,89.70000000000073,"0.60","10.95","547.50","20.49","-30.65","-1532.50","-36.49","-985.00"
"10:59:00",14870.2,14780.5,89.70000000000073,"0.60","10.45","522.50","19.55","-31.45","-1572.50","-37.44","-1050.00"
"11:00:00",14870.2,14763.3,106.90000000000146,"0.72","11.70","585.00","21.89","-39.95","-1997.50","-47.56","-1412.50"
"11:01:00",14870.2,14758.1,112.10000000000036,"0.75","11.60","580.00","21.70","-42.90","-2145.00","-51.07","-1565.00"
"11:02:00",14870.2,14748.3,121.90000000000146,"0.82","12.25","612.50","22.92","-50.70","-2535.00","-60.36","-1922.50"
"11:03:00",14870.2,14739.5,130.70000000000073,"0.88","11.85","592.50","22.17","-53.70","-2685.00","-63.93","-2092.50"
"11:04:00",14870.2,14735.2,135,"0.91","12.20","610.00","22.83","-60.55","-3027.50","-72.08","-2417.50"
