"Time","UnderlyingAtBuy","UnderlyingCurrent","UnderlyingChg","UnderlyingChgPct","position1PL","position1PLAmt","position1PLPct","position2PL","position2PLAmt","position2PLPct","PL"
"09:55:00",15031.9,15031.9,0,"0.00",0,"0.00","0.00",0,"0.00","0.00","0.00"
"09:56:00",15031.9,15034.3,-3,"-0.02",0.09999999999999964,"5.00","1.55",0.34999999999999964,"17.50","3.00","22.50"
"09:57:00",15031.9,15036.6,-5,"-0.03",0,"0.00","0.00",0.3000000000000007,"15.00","2.56","15.00"
"09:58:00",15031.9,15040.4,-9,"-0.06",0.04999999999999982,"2.50","0.77",0.25,"12.50","2.13","15.00"
"09:59:00",15031.9,15036.7,-5,"-0.03",0.14999999999999947,"7.50","2.34",0.25,"12.50","2.13","20.00"
"10:00:00",15031.9,15037.1,-6,"-0.04",0.04999999999999982,"2.50","0.77",0.25,"12.50","2.13","15.00"
"10:01:00",15031.9,15030.5,1,"0.01",0.14999999999999947,"7.50","2.34",-0.3000000000000007,"-15.00","-2.44","-7.50"
"10:02:00",15031.9,15036.9,-5,"-0.03",0.04999999999999982,"2.50","0.77",0,"0.00","0.00","2.50"
"10:03:00",15031.9,15038.1,-7,"-0.05",0.14999999999999947,"7.50","2.34",0,"0.00","0.00","7.50"
"10:04:00",15031.9,15038.2,-7,"-0.05",0.20000000000000018,"10.00","3.15",-0.05000000000000071,"-2.50","-0.41","7.50"
"10:05:00",15031.9,15039.8,-8,"-0.05",0.25,"12.50","3.97",0,"0.00","0.00","12.50"
"10:06:00",15031.9,15043,-12,"-0.08",0.04999999999999982,"2.50","0.77",0.4499999999999993,"22.50","3.90","25.00"
"10:07:00",15031.9,15043,-12,"-0.08",0.25,"12.50","3.97",0.4499999999999993,"22.50","3.90","35.00"
"10:08:00",15031.9,15044.6,-13,"-0.09",0.20000000000000018,"10.00","3.15",0.75,"37.50","6.67","47.50"
"10:09:00",15031.9,15042,-11,"-0.07",0.20000000000000018,"10.00","3.15",0.5999999999999996,"30.00","5.26","40.00"
"10:10:00",15031.9,15045.3,-14,"-0.09",0.14999999999999947,"7.50","2.34",0.9000000000000004,"45.00","8.11","52.50"
"10:11:00",15031.9,15041.3,-10,"-0.07",0.34999999999999964,"17.50","5.65",0.34999999999999964,"17.50","3.00","35.00"
"10:12:00",15031.9,15043.5,-12,"-0.08",0.2999999999999998,"15.00","4.80",0.5500000000000007,"27.50","4.80","42.50"
"10:13:00",15031.9,15041.1,-10,"-0.07",0.2999999999999998,"15.00","4.80",0.3000000000000007,"15.00","2.56","30.00"
"10:14:00",15031.9,15038.1,-7,"-0.05",0.5,"25.00","8.26",0.05000000000000071,"2.50","0.42","27.50"
"10:15:00",15031.9,15037.5,-6,"-0.04",0.5,"25.00","8.26",0.09999999999999964,"5.00","0.84","30.00"
"10:16:00",15031.9,15045.5,-14,"-0.09",0.39999999999999947,"20.00","6.50",0.6500000000000004,"32.50","5.73","52.50"
"10:17:00",15031.9,15041.9,-10,"-0.07",0.5499999999999998,"27.50","9.17",0.25,"12.50","2.13","40.00"
"10:18:00",15031.9,15044.4,-13,"-0.09",0.5499999999999998,"27.50","9.17",0.34999999999999964,"17.50","3.00","45.00"
"10:19:00",15031.9,15047.1,-16,"-0.11",0.7000000000000002,"35.00","11.97",0.34999999999999964,"17.50","3.00","52.50"
"10:20:00",15031.9,15047.3,-16,"-0.11",0.5999999999999996,"30.00","10.08",0.5500000000000007,"27.50","4.80","57.50"
"10:21:00",15031.9,15039.5,-8,"-0.05",0.7000000000000002,"35.00","11.97",0.15000000000000036,"7.50","1.27","42.50"
"10:22:00",15031.9,15044.4,-13,"-0.09",0.6499999999999995,"32.50","11.02",0.09999999999999964,"5.00","0.84","37.50"
"10:23:00",15031.9,15042.1,-11,"-0.07",0.7999999999999998,"40.00","13.91",0.09999999999999964,"5.00","0.84","45.00"
"10:24:00",15031.9,15045.4,-14,"-0.09",0.6499999999999995,"32.50","11.02",0.34999999999999964,"17.50","3.00","50.00"
